pygame 2.6.0 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
         559548 function calls (554776 primitive calls) in 16.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      970   12.400    0.013   12.400    0.013 {method 'tick' of 'pygame.time.Clock' objects}
      970    1.974    0.002    1.974    0.002 {built-in method pygame.display.flip}
      970    0.483    0.000    0.483    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
        1    0.242    0.242   16.113   16.113 main.py:9(main)
   144849    0.218    0.000    0.260    0.000 circleshape.py:20(collision)
        1    0.201    0.201    0.202    0.202 {built-in method pygame.display.set_mode}
    19163    0.171    0.000    0.171    0.000 {built-in method pygame.draw.circle}
      971    0.081    0.000    0.081    0.000 {built-in method pygame.event.get}
   144849    0.043    0.000    0.043    0.000 {method 'distance_to' of 'pygame.math.Vector2' objects}
      970    0.034    0.000    0.034    0.000 {built-in method pygame.draw.polygon}
        1    0.028    0.028    0.029    0.029 {built-in method pygame.base.init}
    12692    0.028    0.000    0.062    0.000 sprite.py:440(__iter__)
    12692    0.028    0.000    0.028    0.000 sprite.py:382(sprites)
      970    0.025    0.000    0.025    0.000 {built-in method pygame.key.get_pressed}
      970    0.022    0.000    0.027    0.000 player.py:15(triangle)
      970    0.020    0.000    0.054    0.000 player.py:30(update)
     9763    0.018    0.000    0.018    0.000 asteroid.py:16(update)
     9784    0.017    0.000    0.148    0.000 asteroid.py:11(draw)
     9782    0.017    0.000    0.017    0.000 score.py:11(register_observer)
     9379    0.014    0.000    0.055    0.000 shot.py:9(draw)
     9360    0.011    0.000    0.011    0.000 shot.py:14(update)
    30/28    0.009    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
   476/80    0.008    0.000    0.021    0.000 sre_parse.py:494(_parse)
      970    0.008    0.000    0.069    0.000 player.py:23(draw)
    12694    0.007    0.000    0.007    0.000 {built-in method builtins.iter}
       83    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      637    0.005    0.000    0.005    0.000 player.py:27(rotate)
     2004    0.005    0.000    0.005    0.000 {method 'rotate' of 'pygame.math.Vector2' objects}
      970    0.005    0.000    0.008    0.000 asteroidfield.py:39(update)
    12957    0.004    0.000    0.004    0.000 sre_parse.py:234(__next)
  333/329    0.003    0.000    0.024    0.000 {built-in method builtins.__build_class__}
   817/76    0.003    0.000    0.008    0.000 sre_compile.py:87(_compile)
    11634    0.002    0.000    0.006    0.000 sre_parse.py:255(get)
      330    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
      242    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
   131/66    0.002    0.000    0.003    0.000 sprite.py:119(add)
      540    0.001    0.000    0.001    0.000 {built-in method posix.stat}
  961/229    0.001    0.000    0.002    0.000 sre_parse.py:175(getwidth)
     5498    0.001    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
    12610    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      125    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       65    0.001    0.000    0.005    0.000 circleshape.py:4(__init__)
10548/9613    0.001    0.000    0.001    0.000 {built-in method builtins.len}
   323/76    0.001    0.000    0.022    0.000 sre_parse.py:436(_parse_sub)
     2044    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
    11847    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       83    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      471    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1185    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      195    0.001    0.000    0.001    0.000 sprite.py:155(add_internal)
      142    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     1185    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       31    0.001    0.000    0.004    0.000 player.py:53(shoot)
      641    0.001    0.000    0.001    0.000 posixpath.py:71(join)
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
    142/7    0.001    0.000    0.100    0.014 <frozen importlib._bootstrap>:1022(_find_and_load)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
       83    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.001    0.000    0.001    0.000 enum.py:180(__new__)
      471    0.001    0.000    0.001    0.000 copy.py:259(_reconstruct)
     2093    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       83    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      727    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5641b544e9a0}
      254    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       11    0.001    0.000    0.001    0.000 __init__.py:328(namedtuple)
     2769    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
       66    0.001    0.000    0.003    0.000 sprite.py:114(__init__)
       25    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      166    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
